0	0	0	0	0	0	0	2	18
0	0	0	0	1	0	0	2	22
1	1	1	1	0	0	0	1	20
1	1	1	1	1	1	1	1	20
0	0	0	1	0	0	0	1	18
0	0	0	0	1	0	0	2	18
0	0	0	0	0	1	0	1	19
0	0	0	0	0	0	0	2	23
0	0	0	0	1	0	0	2	37
0	0	0	0	1	1	0	2	27
0	0	0	0	1	0	0	2	33
0	1	1	1	0	0	0	1	34
1	1	1	1	0	0	0	1	34
0	0	0	0	0	0	0	2	25
0	0	0	0	0	1	0	1	18
1	1	1	1	0	1	0	1	19
0	0	0	0	0	1	0	2	36
0	0	0	0	1	0	0	2	31
0	0	0	0	0	0	0	1	20
1	1	1	1	0	0	0	2	21
1	0	0	0	0	1	0	2	21
1	1	1	1	0	1	1	1	20
1	1	1	1	0	1	0	2	19
0	0	0	0	1	0	0	1	26
0	0	0	0	0	0	0	1	22
1	1	1	1	0	0	0	2	18
1	0	0	0	0	1	0	2	18
1	1	1	1	0	0	0	2	21
1	1	1	0	0	0	0	2	27
0	0	0	0	1	0	0	2	19
1	0	0	0	0	1	1	2	29
0	0	0	0	0	0	0	2	25
0	0	0	0	1	0	0	2	23
1	1	1	1	0	1	0	2	18
0	1	0	0	0	0	0	2	21
1	0	1	0	0	0	0	3	21
1	1	1	1	0	1	0	2	20
1	1	1	1	0	1	0	2	21
1	1	1	1	0	1	0	1	20
0	1	1	1	0	1	0	2	20
0	1	0	0	0	1	0	2	21
1	1	0	1	1	1	0	1	21
1	1	1	1	1	0	0	1	19
1	1	1	1	0	1	0	2	21
1	1	1	1	0	1	0	2	20
1	1	1	1	0	1	0	1	20
1	1	1	1	0	1	0	2	22
1	1	1	1	0	1	0	2	24
1	1	1	1	0	1	0	2	21
1	1	1	1	0	1	0	2	17
1	1	1	1	0	0	0	2	20
1	1	1	1	0	1	0	2	20
1	1	0	0	0	1	0	1	22
1	1	1	1	0	1	1	1	20
1	1	1	1	0	1	0	1	19
1	1	1	1	0	1	1	2	47
1	1	0	1	0	0	0	2	20
1	1	1	1	0	1	0	2	21
1	1	1	1	0	1	0	2	24
1	1	0	1	0	1	0	2	21
1	1	1	1	0	1	0	1	21
1	1	1	1	0	1	0	1	18
1	1	1	1	0	1	0	2	18
1	1	1	1	0	1	0	1	18
1	1	1	0	0	1	0	1	20
1	0	0	1	0	1	0	2	19
0	0	0	0	1	0	0	1	19
0	0	0	0	0	0	0	2	21
0	0	0	1	1	0	0	2	18
0	0	0	0	0	0	0	2	18
0	0	0	0	1	0	0	2	26
1	0	0	0	0	0	0	2	20
0	0	1	0	0	0	0	1	23
1	1	1	1	0	0	0	2	19
1	1	1	0	0	0	0	2	20
1	1	1	0	0	1	1	2	19
1	1	1	1	0	1	0	1	18
0	0	0	0	1	1	0	2	21
1	1	1	1	0	1	0	1	17
1	1	1	1	1	1	0	1	18
1	1	0	1	0	0	0	2	21
1	1	1	1	0	1	0	1	18
1	1	1	1	0	1	0	2	18
0	1	0	0	0	0	0	2	17
1	1	1	1	0	0	0	2	18
1	1	1	1	0	1	0	1	18
1	1	1	1	0	0	1	2	18
0	0	0	0	0	1	0	2	18
0	1	1	0	1	0	0	2	20
0	0	0	0	1	1	0	2	27
1	1	1	1	0	1	0	2	19
0	0	0	0	1	1	0	1	15
1	0	1	0	0	1	0	2	15
1	0	0	0	0	0	0	1	15
0	0	0	0	1	1	1	2	15
1	1	0	1	0	1	0	1	15
1	0	0	0	1	0	0	1	15
0	0	0	0	1	0	0	2	14
0	0	0	0	0	1	0	2	14
0	0	0	0	1	1	0	1	15
0	0	1	0	1	1	0	2	14
0	0	0	0	0	0	0	1	15
0	0	0	1	1	0	0	1	17
