groupflag,mathperson1,mathperson2,mathperson3,mathperson4,dislikemathclass,pursuestem,boysbetter,learnrace,racegroups,knowrace,connectrace1,affectrace,proudrace,mixrace,unclearrace,connectrace2,dontknowrace,belongrace,understandrace,talkrace,priderace,avoidrace,practicerace,playotherrace,strongrace,enjoyotherrace,feelrace,racediscrimination,academicability_peers,mathability_peers,activities,deciderules,makeadiff,adultcares,adultnotices,adultlistens,adultpraise,adultmybest,adultmysuccess,mtchmematter,mtchlowerstandards,mtchraceexpect,mtchtalkrace,mtchignorerace,mtchvalues,mtchrespect,mtchfair,mtchsuccess,mtchmistakesok,mtchbiased,mtchmadeinteresting,mtchgenderbias,mtchmadeeasy,mtchrace,mtchrace2,mtchgender,mathcourse,mathnoadv,mathbad,mathpersistence,mathboring,mathgrades,mathimpt,peerbelief,mtchbelief,mtchdiscriminate,stereotype_asian,stereotype_white,stereotype_latino,stereotype_black,school_asian,school_white,school_latino,school_black,closerace,belongrace,raceidentity,raceaffects,raceproud,racehappy,raceunhappy,raceaffects2,racefriends,myracegood,age,sex,race,primarylanguage,primarylanguage1,flag_birthplace,flag_birthplace_text,gradelevel,collegetype,highesteducation,mothereducation
1,4,4,4,4,1,3,2,3,3,1,3,2,4,2,3,3,2,2,,1,2,1,2,2,2,2,3,4,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,4,4,4,4,4,1,4,1,4,6,,2,MATH 2820,1,1,4,1,4,4,1,1,1,1,2,3,3,1,3,3,3,4,4,4,4,4,4,1,3,3,2,20,1,6,1,,1,,7,3,5,8
1,3,4,2,4,3,3,1,2,1,4,4,1,4,1,3,3,4,3,2,3,1,1,1,3,3,3,1,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,3,1,3,4,4,2,2,1,1,1,1,6,,1,Modern Algebra MATH 4300,3,1,3,2,2,4,1,3,1,2,2,3,3,2,2,2,2,2,3,1,1,1,1,4,2,2,3,21,1,1,1,,1,,8,3,4,6
1,3,4,4,4,3,1,1,3,4,3,3,2,1,1,2,3,1,3,3,3,2,1,4,3,2,3,2,4,1,1,4,4,4,3,4,4,4,3,4,1,1,1,1,2,3,3,4,3,2,1,2,1,2,6,,2,MATH 2420: Methods of Differential Equations,2,1,3,2,3,4,1,1,1,1,2,3,3,1,2,2,2,2,3,2,3,2,2,3,4,2,3,19,1,1,1,,2,India,7,3,5,9
1,4,4,3,3,1,3,1,3,3,3,3,3,3,1,2,3,1,3,3,2,3,1,3,3,3,3,3,2,1,1,3,3,3,3,3,2,2,2,3,1,1,1,1,1,3,3,4,2,3,2,3,2,2,6,,1,MATH 4200 Topology I,1,1,3,1,4,4,3,2,1,2,2,4,4,2,3,3,3,2,2,3,3,3,3,2,3,3,3,21,2,1,1,,1,,8,3,5,8
1,3,3,3,3,1,4,2,2,1,3,3,2,4,1,1,3,2,2,3,3,3,1,2,4,2,4,3,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,2,2,1,2,6,,2,Math 3320 (Error Correcting Codes & Cryptography); Math 3800 (Theory of Numbers),1,1,2,2,3,4,4,2,1,1,2,3,3,2,2,2,2,2,2,2,1,2,2,1,1,1,2,20,2,7,1,,1,,7,3,5,8
1,4,4,4,4,1,4,2,2,1,3,3,1,4,1,2,3,2,2,3,1,3,1,3,3,2,4,3,1,2,1,3,3,4,4,3,4,3,4,4,1,1,2,3,1,3,4,4,4,3,2,4,1,3,6,,1,,1,1,4,1,4,4,2,1,1,1,2,3,3,2,2,2,2,1,2,2,1,3,4,1,2,2,3,20,1,6,1,,1,,8,3,5,8
1,4,4,3,3,1,4,1,2,1,1,4,1,3,1,2,3,2,1,1,1,2,1,1,3,1,3,2,1,2,2,3,1,2,4,4,4,4,4,4,1,1,1,2,1,4,4,4,4,4,1,4,1,4,6,,2,Math 565 Concepts of Geometry,1,1,3,1,4,4,4,4,1,2,2,3,3,2,2,2,2,1,1,1,1,1,2,1,1,1,3,22,2,7,1,,1,,8,3,5,6
1,4,4,4,4,1,4,1,3,1,3,4,1,4,1,3,4,1,3,3,3,3,1,4,4,2,4,3,2,3,3,1,1,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,4,1,3,5,,1,Math 407 Synthesis of Mathematical Concepts,1,1,4,1,3,4,1,1,1,1,2,3,3,2,2,2,2,1,1,1,2,2,2,1,1,1,1,24,2,6,1,,2,Germany,8,3,5,4
1,4,4,4,4,1,4,1,1,3,2,4,2,4,1,3,2,4,3,3,1,2,1,1,4,1,4,2,1,1,1,4,1,2,4,4,4,4,4,4,1,1,1,4,1,4,4,4,4,4,1,4,1,4,1,,1,Math 407,1,1,4,1,4,4,1,1,1,1,2,3,4,2,2,2,2,1,1,2,2,1,3,2,2,1,4,21,2,6,1,,1,,8,3,5,8
1,4,4,3,4,2,3,2,3,3,2,4,4,3,1,3,4,2,3,3,2,2,1,2,4,2,4,2,1,1,2,4,2,3,4,3,4,4,4,4,4,1,1,1,3,2,2,2,2,1,4,2,2,1,6,,1,Calculus 1301,2,1,4,2,4,4,4,4,1,1,2,3,4,2,2,2,2,3,2,2,4,2,3,2,2,1,2,17,2,6,1,,1,,5,3,4,9
1,4,4,4,4,1,2,1,2,3,3,4,1,3,1,1,3,2,1,2,1,3,1,2,2,3,3,4,2,1,2,4,2,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,2,1,2,6,,1,,1,1,4,1,4,4,2,1,1,1,2,3,3,1,1,1,1,1,2,1,1,3,3,1,1,1,2,20,2,6,1,,1,,7,3,5,6
1,4,4,4,4,1,4,1,2,4,2,4,4,4,1,3,2,3,2,2,3,4,1,2,4,3,4,3,4,1,1,4,1,3,4,4,4,3,4,4,1,1,2,1,1,4,4,4,4,4,1,4,1,3,6,,1,MATH 3300 Abstract Algebra,1,1,4,1,3,4,2,1,1,1,3,4,3,2,2,2,2,3,2,2,4,3,4,1,2,3,2,20,2,1,1,,2,China,7,3,5,7
1,4,3,2,1,1,4,1,2,1,1,3,1,4,1,2,3,3,2,3,1,2,1,1,1,2,4,4,2,1,2,1,2,2,1,1,2,2,3,2,1,1,1,2,1,4,4,4,4,3,1,2,1,2,6,,1,"Math-414: Curriculum & Instruction, Math-302: Transition to Higher Math, Math-524: Linear Algebra",2,1,2,2,4,3,3,1,1,1,2,2,3,2,2,2,2,4,4,1,1,2,4,1,1,2,3,22,1,5,1,,1,,8,3,5,6
1,4,4,4,4,1,4,3,1,4,1,4,1,3,1,1,3,4,2,2,1,1,1,1,3,1,3,2,3,1,1,4,2,2,2,2,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,3,1,3,6,,1,,1,1,4,1,4,4,1,2,1,1,2,3,3,2,2,2,2,2,2,1,1,1,3,1,1,1,2,20,1,6,1,,1,,8,3,4,6
1,4,4,4,4,1,4,2,2,2,2,3,2,2,1,2,3,3,2,2,2,2,1,3,2,2,4,2,1,1,2,3,1,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,4,1,3,6,,1,"Probability (MATH 3640), Linear Optimization (MATH 4620), Intro to Topology (MATH 3200)",1,1,2,1,4,4,2,2,1,1,3,4,4,2,3,3,3,3,4,2,2,2,2,1,4,2,2,19,1,1,1,,1,,7,3,5,8
1,4,4,3,3,1,4,3,1,3,1,4,4,2,1,3,4,4,1,1,1,1,1,2,4,1,4,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,6,,1,,2,2,3,1,3,4,4,4,4,1,3,2,4,2,3,2,2,1,1,1,3,1,1,2,3,2,1,47,2,6,1,,1,,8,3,5,5
1,4,3,2,3,1,2,1,1,1,3,4,2,2,1,2,3,3,2,2,1,1,4,1,3,1,4,2,1,3,2,4,2,3,4,4,3,3,4,4,1,1,1,1,3,3,3,3,3,3,2,3,1,2,6,,1,,2,1,4,1,3,4,1,2,1,1,2,3,2,2,2,2,2,2,1,1,2,1,2,1,3,1,1,20,2,6,1,,1,,8,3,5,7
1,4,4,4,4,1,4,1,3,3,3,4,3,2,1,1,4,3,3,3,2,2,1,4,4,2,4,3,2,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,2,1,1,1,6,,1,n/a,1,1,4,1,4,4,3,3,1,1,2,3,4,2,2,2,2,4,2,1,2,2,2,1,3,1,1,21,2,6,1,,1,,8,3,5,6
1,3,3,3,3,1,4,1,2,1,3,4,1,3,1,1,3,1,2,3,1,2,1,2,4,2,4,3,1,2,2,3,1,3,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,3,1,1,1,6,,2,MATH 4000 Abstract Algebra,1,1,3,1,4,4,1,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,24,2,6,1,,1,,8,3,4,4
1,2,2,3,2,2,3,1,3,3,4,4,3,4,1,2,2,2,2,2,3,3,1,2,1,2,3,2,4,3,3,1,2,3,2,1,3,3,2,2,1,1,1,2,1,4,4,4,4,4,1,4,1,4,4,,1,,1,1,1,2,4,3,3,4,1,1,1,3,4,1,1,2,2,3,3,3,3,3,3,2,3,1,3,,1,3,1,,1,,5,3,4,5
1,4,4,2,3,1,4,1,1,3,3,3,1,3,1,2,2,3,2,2,1,2,1,1,3,3,4,3,2,3,3,3,1,2,2,2,4,3,4,2,1,1,1,1,1,4,4,4,2,3,2,3,2,3,6,,1,"Math 3000 linear algebra, math 4000 probability",1,1,3,1,4,4,3,4,1,1,2,3,3,1,1,3,1,4,3,2,1,2,4,1,1,1,2,21,2,6,1,,1,,8,3,5,1
1,4,3,3,3,1,4,2,1,2,2,4,3,2,1,3,2,2,2,2,1,1,1,2,4,1,4,2,2,1,1,3,2,2,2,2,1,2,2,2,1,1,1,3,1,4,3,4,4,4,3,4,2,4,7,White / Jewish,1,MATH295,1,1,4,1,4,4,1,3,1,2,2,4,4,2,2,2,2,3,1,1,1,2,2,1,1,1,3,21,1,6,1,,1,,8,3,5,6
1,4,4,4,4,2,4,1,2,1,2,3,1,2,1,3,4,3,2,2,1,2,1,2,4,1,3,2,3,1,1,4,3,3,4,4,4,3,4,4,1,1,1,3,1,4,4,4,4,4,1,4,1,3,6,,1,"Honors Math I, MATH 295",1,1,3,1,4,4,1,1,1,1,2,3,4,3,3,3,3,2,1,3,2,2,3,2,1,1,2,18,1,1,1,,1,,5,3,5,8
1,4,4,3,4,1,4,2,4,4,4,4,4,4,1,2,4,1,3,3,4,1,1,3,3,3,4,4,4,2,1,3,2,2,2,2,2,2,2,3,1,1,1,2,2,4,4,4,4,4,1,4,1,3,6,,1,Math295,1,1,4,1,4,4,4,4,4,1,2,3,3,2,2,2,2,2,3,4,4,2,2,3,3,1,2,18,2,1,3,Malay,2,Malaysia,5,3,5,6
1,3,3,3,3,1,3,1,3,3,3,4,3,3,1,1,3,2,3,2,3,3,1,3,3,3,3,3,3,3,2,3,2,2,3,2,3,2,3,3,1,1,1,3,1,4,4,4,4,4,2,3,1,3,6,,1,MATH 295: Honors Mathematics 1,1,1,3,1,3,4,2,2,1,1,2,3,3,2,2,2,2,3,3,3,4,3,2,2,4,2,3,18,1,1,1,,2,South Africa,5,3,5,6
1,3,3,3,2,1,3,1,4,1,4,4,1,4,1,1,4,1,4,4,4,4,1,1,4,4,4,4,1,3,3,1,1,1,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,4,1,4,6,,2,MAT 56,2,1,1,1,4,4,1,1,1,1,2,2,3,1,1,1,1,4,4,4,4,4,4,1,4,4,4,20,1,4,1,,1,,7,2,4,3
1,3,2,2,3,1,3,1,3,1,2,3,2,3,1,1,3,1,2,3,3,4,1,4,3,3,3,3,1,3,3,1,1,1,2,2,2,3,3,3,1,1,1,1,1,3,3,3,3,3,3,2,1,2,6,,2,math 56,1,1,2,2,3,3,1,1,1,1,2,2,2,1,1,1,1,3,2,3,3,3,3,2,,3,3,19,2,4,1,,1,,6,2,5,3
1,1,2,2,2,1,4,1,2,1,4,4,3,2,1,1,3,1,3,4,2,4,1,4,3,3,3,4,2,2,3,1,1,2,2,3,3,4,3,4,1,1,1,3,1,4,4,4,4,4,1,3,1,2,6,,2,,4,2,2,2,3,4,1,1,1,,,,,,,,,,,,,,,,,,,,2,3,1,,1,,6,2,4,5
1,2,2,2,2,3,1,1,1,1,1,3,2,3,2,1,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,2,1,2,2,2,3,2,2,2,1,1,1,1,1,3,3,3,3,3,1,2,1,2,6,,2,,1,2,1,3,3,2,1,1,1,1,2,2,2,2,2,2,2,3,3,2,1,3,3,1,1,1,3,19,1,4,1,,1,,4,2,4,5
1,2,1,1,1,2,2,1,1,1,4,4,3,4,1,2,1,2,2,2,1,1,1,2,2,2,2,3,2,3,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,3,3,3,3,3,1,2,1,2,2,,2,MAT56-26699,2,1,3,2,3,4,2,1,1,1,3,2,2,1,2,2,2,3,2,2,1,4,3,1,1,2,1,21,2,1,3,nepali,2,nepal,5,2,5,1
1,1,2,2,3,3,1,1,2,2,3,3,3,3,1,1,2,2,3,3,3,3,1,3,3,3,3,3,1,3,3,2,1,2,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,1,3,1,3,6,,2,Math 56,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,3,3,3,3,3,3,1,2,2,2,18,2,4,1,,1,,5,2,4,3
1,1,1,1,1,2,1,1,2,2,3,2,3,4,1,1,3,3,4,3,4,4,1,3,3,3,4,4,4,3,4,4,2,2,4,4,4,4,4,4,1,1,1,4,4,3,3,3,3,4,2,3,1,2,6,,1,,1,2,1,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,3,2,4,3,4,1,2,1,2,18,2,1,1,,1,,5,2,1,1
1,3,2,2,2,1,2,1,1,1,4,2,1,4,1,1,3,2,3,3,1,4,1,4,4,2,3,4,2,2,2,1,1,1,1,1,3,3,4,3,1,1,1,2,1,3,4,4,4,4,1,4,1,4,6,,2,,1,1,3,2,4,3,1,1,1,1,3,3,3,1,1,1,1,2,2,2,2,4,4,1,4,1,3,,2,6,1,,2,Italy,5,2,5,8
1,2,2,2,2,4,1,1,1,1,2,2,1,2,1,2,3,3,2,2,2,2,1,2,3,2,4,4,2,1,3,2,2,2,3,4,3,3,4,4,1,1,1,2,1,3,4,4,4,3,1,4,1,3,6,,2,MAT 56,1,2,2,3,3,3,2,1,1,1,2,2,3,2,2,2,2,2,2,2,1,2,2,1,1,2,3,26,2,6,1,,1,,5,2,5,4
1,3,2,2,2,1,2,2,4,1,4,4,4,4,1,1,1,1,4,4,4,4,1,4,4,4,4,4,4,2,2,1,2,2,2,2,3,4,4,2,4,3,1,4,1,1,2,1,1,4,4,1,4,4,3,,2,mat 56-1202,2,1,4,1,4,4,1,4,4,1,2,3,3,2,2,2,2,4,4,4,4,4,4,1,4,1,3,20,2,3,1,,1,,6,2,4,9
1,2,2,3,1,2,1,1,2,1,3,4,2,4,1,1,3,1,4,4,2,4,1,1,4,4,3,4,2,2,3,2,3,2,2,1,3,2,3,3,1,1,1,2,2,3,4,3,4,4,2,3,1,2,4,,2,,2,3,1,2,1,3,1,2,1,1,2,3,3,1,2,3,2,2,3,3,3,4,4,1,4,2,2,23,1,4,1,,1,,8,2,4,4
1,2,2,3,2,1,2,1,2,1,2,3,2,3,1,2,2,1,3,2,1,4,1,3,1,3,4,4,1,3,3,2,1,1,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,2,,3,6,,2,,1,1,1,1,4,3,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,4,4,1,1,1,1,,2,4,3,both,1,,6,2,5,4
1,4,4,4,4,1,2,1,2,1,3,3,1,3,1,1,2,1,4,4,3,4,1,2,1,3,4,4,1,3,1,2,2,2,3,3,3,3,3,3,1,1,1,3,1,4,4,4,4,4,1,4,1,4,4,,2,,1,1,1,1,4,3,1,1,1,1,1,2,1,1,1,1,1,3,3,3,1,4,4,1,1,2,2,19,2,4,2,,2,peru,6,2,5,4
1,3,4,3,2,2,1,1,3,1,4,4,4,4,4,3,4,1,3,2,3,4,3,3,3,4,3,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,3,2,1,3,6,,2,Math56,1,1,3,1,4,4,1,4,4,1,4,1,1,1,4,1,1,2,3,4,4,4,4,1,4,1,3,20,2,4,1,,1,,6,2,1,5
1,3,3,3,1,1,3,4,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,4,2,1,3,2,2,2,2,3,2,4,4,4,3,4,1,1,2,1,4,4,4,3,4,1,4,1,4,6,,2,MAT 56-1202,1,1,1,1,3,3,2,1,1,1,2,1,3,1,2,1,3,4,3,3,2,2,4,1,1,4,3,19,2,1,3,Burmese,2,Myanmar,8,2,5,3
1,2,4,2,2,1,2,1,4,1,2,4,1,2,1,2,4,4,2,2,1,4,1,4,4,4,4,4,2,3,2,4,4,4,1,2,2,1,2,1,2,1,1,1,1,2,2,4,2,2,1,2,1,4,7,Native Cental America ,1,MATH 56,1,2,1,1,2,4,2,1,1,2,3,3,3,1,3,2,3,1,3,4,1,1,1,1,1,4,1,,1,7,2,,2,,5,2,4,1
1,3,2,2,2,1,1,1,3,2,3,4,2,4,1,2,3,1,3,3,2,4,1,2,3,3,3,3,3,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,3,3,3,3,3,1,2,1,3,6,,2,,2,2,3,2,3,2,1,1,1,1,3,4,4,2,2,2,2,3,2,1,1,1,2,1,1,1,1,,1,4,1,,1,,6,2,4,4
1,2,2,2,2,2,1,1,1,2,3,4,2,3,1,1,4,3,2,3,2,3,1,3,3,3,4,4,1,2,3,4,2,3,4,4,4,4,4,4,1,1,1,1,3,4,4,4,4,4,1,4,1,4,6,,2,math056,2,2,2,2,3,4,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,,2,6,1,,2,montenegro,8,2,4,5
1,3,2,3,3,1,1,1,2,2,3,3,1,3,1,1,2,2,3,3,4,4,1,2,2,4,3,4,1,3,3,3,4,4,2,2,3,3,3,4,1,1,1,1,4,4,4,4,4,4,1,4,1,4,3,,1,Math 12,1,1,2,1,3,3,2,1,1,2,3,2,2,2,3,2,1,3,3,2,1,2,3,1,1,2,3,,2,6,3,"Arabic, Moroccan ",2,Morocco,,2,,1
1,4,2,2,3,1,1,1,1,1,2,4,2,4,1,1,3,4,3,2,1,3,1,3,2,3,4,4,2,2,2,1,1,1,1,1,3,4,,2,2,1,1,4,1,3,4,4,4,4,,,,,6,,2,math 56,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,2,,1,4,1,,1,,6,2,4,1
1,2,1,1,1,2,2,1,3,2,2,4,3,2,1,1,4,2,2,3,2,1,4,2,4,2,4,2,1,2,3,4,2,4,3,2,4,4,4,4,1,1,1,4,1,4,4,4,4,4,1,4,1,4,6,,2,,2,1,2,2,3,3,4,4,1,1,3,3,3,2,2,2,2,2,2,,3,2,2,2,1,1,2,,2,6,1,,1,,8,3,4,4
1,4,4,4,4,1,4,1,2,1,2,4,1,3,1,3,4,4,2,2,1,1,1,3,4,1,4,4,1,3,2,3,2,2,4,4,4,4,4,4,1,1,1,1,1,3,4,4,4,4,1,4,1,2,6,,1,Math 295 : Honors Mathematics 1,1,1,3,1,4,4,2,1,1,1,3,3,3,2,2,2,4,2,2,1,1,2,3,1,1,1,1,18,1,6,1,,1,,5,3,5,4
1,3,3,4,4,2,4,1,1,2,1,2,1,3,2,3,2,4,3,2,1,1,2,1,2,1,2,1,1,3,3,3,1,1,2,1,4,4,4,4,1,1,1,,,4,4,4,4,4,1,3,1,2,6,,1,MATH 295: Honor's Mathematics 1,1,1,3,1,3,4,1,1,1,1,3,2,4,2,2,2,2,1,2,1,1,1,2,1,1,2,1,18,1,6,1,,1,,5,3,4,8
1,1,1,1,1,3,3,1,3,2,3,3,3,3,1,1,3,1,3,3,3,3,1,3,3,3,3,3,2,3,4,2,2,2,3,3,3,3,3,3,1,1,1,2,1,3,3,3,3,3,1,3,1,3,6,,2,MATH565,2,3,3,2,2,3,4,3,1,1,2,3,3,2,2,2,2,3,3,3,3,3,3,1,3,2,3,21,2,1,1,,1,,7,3,4,6
1,4,4,4,4,1,4,1,1,1,2,4,3,3,1,2,3,4,2,3,1,3,1,2,3,2,3,1,2,2,2,3,1,2,2,1,3,3,3,3,1,1,1,1,1,4,4,4,4,4,2,3,1,4,6,,2,Math 295 Honors Mathematics 1,1,1,3,2,4,4,1,1,1,2,2,4,3,2,2,2,2,2,1,1,2,2,3,1,1,1,3,17,1,6,1,,1,,5,3,5,8
1,3,3,3,3,3,4,1,1,2,3,3,3,4,1,3,2,3,3,3,2,3,1,2,2,3,3,3,2,2,3,2,2,2,4,3,3,4,4,4,1,2,3,4,1,3,4,2,3,4,3,3,1,3,4,,1,College Algebra,1,1,2,2,4,4,2,2,1,1,2,4,3,2,2,2,2,2,3,3,3,4,4,1,2,1,3,18,1,3,1,,1,,5,3,5,9
1,3,4,2,3,1,2,1,2,2,4,3,1,4,1,1,2,2,2,2,1,4,1,1,4,2,2,4,1,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,1,1,1,6,,1,,1,1,3,1,4,4,4,4,1,1,2,4,4,2,2,2,2,3,3,2,1,3,4,1,1,1,3,21,2,6,1,,1,,7,3,5,6
1,4,3,4,3,1,3,1,3,1,2,3,1,4,1,4,3,2,2,3,3,4,1,3,4,2,4,4,3,2,1,3,1,2,3,2,3,3,2,2,1,1,1,4,4,4,4,4,4,4,1,4,1,4,6,,1,Math 295 honors math 1,1,1,3,1,3,4,1,2,1,4,4,1,1,4,4,1,1,2,2,2,2,2,2,1,2,2,2,18,1,7,1,,1,,5,3,5,8
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,2,3,2,2,3,1,2,1,2,4,3,4,1,3,3,2,4,2,3,4,1,2,1,4,4,4,1,,,,,,,,,,,,1,1,1,1,1,4,4,4,4,4,1,2,1,2,6,,2,College Algebra,2,1,2,2,4,3,1,1,1,1,1,2,3,1,2,2,3,2,2,4,3,4,4,1,2,1,2,18,1,3,1,,1,,5,3,4,7
1,4,3,3,3,1,4,1,3,2,3,3,3,4,1,2,1,2,2,2,3,4,1,2,2,2,4,4,4,2,2,3,2,3,2,2,2,2,2,2,1,1,2,3,1,4,4,4,4,4,1,1,1,2,1,,1,math 70 4953,2,1,3,3,4,4,2,2,1,1,2,3,3,2,2,2,2,2,3,3,3,4,4,2,2,1,2,18,2,4,1,,1,,5,3,5,9
1,1,1,2,1,4,1,1,2,1,4,4,4,4,1,1,4,1,4,4,3,4,1,3,2,3,4,4,1,2,5,2,1,1,3,2,4,1,3,3,1,1,1,2,1,4,4,4,4,4,1,2,1,3,4,,1,Math 70,2,3,1,4,3,2,4,1,1,1,1,2,3,2,2,2,2,3,3,3,4,4,4,1,2,1,3,,2,4,1,,1,,5,3,5,3
1,2,3,2,2,2,1,1,2,1,3,4,2,4,1,2,2,2,2,2,2,2,1,1,1,3,4,3,3,3,3,2,1,1,2,1,3,3,2,2,1,1,1,1,1,3,3,2,3,3,2,2,1,3,4,,1,Math 60,2,2,2,2,2,2,2,1,1,1,2,2,3,2,2,2,2,2,2,1,2,2,2,1,1,1,1,17,2,4,1,,1,,5,3,4,3
1,4,3,3,3,1,1,2,4,4,3,4,4,4,1,1,4,1,4,4,4,4,1,4,4,4,4,4,4,2,3,4,4,3,4,4,4,4,4,4,1,1,1,1,1,3,4,4,4,4,1,1,1,1,4,,1,MATH 70,1,1,4,2,4,3,4,4,1,2,3,2,2,2,2,2,2,3,3,3,3,4,4,1,3,1,4,18,2,4,1,,2,M’©xico ,5,3,5,5
1,4,3,3,3,2,3,1,3,2,4,4,3,3,1,3,3,2,2,3,2,4,1,3,2,3,2,4,1,3,2,2,2,2,2,1,3,3,3,3,1,1,1,1,2,4,4,4,4,4,1,3,1,2,6,,2,Math 60,1,1,1,3,4,3,1,1,1,1,2,3,3,1,1,1,1,3,3,4,2,4,4,1,2,2,3,18,1,4,1,,1,,5,3,4,5
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,4,1,2,1,1,4,4,1,3,1,1,4,1,1,2,1,1,1,1,4,4,4,2,2,3,5,2,1,3,2,2,2,2,2,2,3,1,1,4,1,2,2,1,1,2,4,1,4,1,6,,2,Math 60 or 70,2,4,1,3,1,2,4,4,1,1,1,2,3,2,1,2,2,1,2,1,4,1,2,2,2,1,2,18,1,4,1,,1,,5,3,4,4
1,1,2,2,2,1,1,3,4,4,4,4,4,4,1,1,4,1,4,4,3,4,1,4,4,4,4,4,4,3,5,1,1,1,4,3,4,4,4,4,4,1,1,4,1,4,4,3,4,4,1,3,1,3,4,,1,Math 60,3,2,1,1,3,3,3,4,4,1,2,2,4,1,2,1,2,3,3,4,4,4,4,1,3,3,2,18,2,5,1,,1,,5,3,4,3
1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,,1,math 70,1,1,2,2,2,3,2,1,1,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,4,2,,2,,5,3,4,4
1,3,4,3,4,1,2,3,3,2,4,3,3,4,1,1,4,1,4,4,4,4,1,4,4,3,3,4,4,1,2,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,1,3,1,3,3,,1,Mat 150,2,2,2,2,4,4,3,4,3,1,2,3,2,2,2,2,2,2,3,4,4,4,4,1,2,1,2,18,2,3,3,African local dialets ,2,Togo,5,2,5,7
1,1,4,3,2,2,2,3,3,2,3,1,2,2,2,1,2,2,4,4,4,,1,1,1,1,1,3,4,2,2,3,2,3,4,4,1,3,3,1,1,2,2,1,1,2,2,1,3,2,1,2,2,2,3,,1,It's lit ,1,3,4,3,2,4,4,4,4,1,2,3,1,2,2,1,2,1,1,2,3,3,2,2,2,1,1,19,1,4,1,,1,,5,2,4,4
1,2,2,2,2,1,3,1,2,3,2,4,2,4,2,3,3,1,4,4,4,4,1,3,4,4,4,4,4,3,3,3,1,4,2,1,2,3,4,4,1,1,1,1,1,4,4,4,4,4,1,4,4,3,4,,1,Math 70,1,1,2,2,3,3,3,1,1,1,2,3,4,1,2,2,2,4,4,4,2,4,4,2,3,3,3,18,2,1,1,,2,Philippines,5,3,5,1
1,2,3,3,2,4,2,1,4,2,2,3,4,4,1,1,2,1,3,3,3,3,1,4,4,4,4,4,4,2,3,3,2,2,2,2,2,2,2,3,1,1,1,1,1,4,4,4,4,4,2,2,1,2,7,Middle eastern ,1,Math 150-1205,2,3,2,3,3,2,1,1,1,1,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,3,2,20,2,1,1,,2,Pakistan ,5,2,5,3
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
