groupflag,mathperson1,mathperson2,mathperson3,mathperson4,dislikemathclass,pursuestem,boysbetter,learnrace,racegroups,knowrace,connectrace1,affectrace,proudrace,mixrace,unclearrace,connectrace2,dontknowrace,belongrace,understandrace,talkrace,priderace,avoidrace,practicerace,playotherrace,strongrace,enjoyotherrace,feelrace,racediscrimination,academicability_peers,mathability_peers,activities,deciderules,makeadiff,adultcares,adultnotices,adultlistens,adultpraise,adultmybest,adultmysuccess,mtchmematter,mtchlowerstandards,mtchraceexpect,mtchtalkrace,mtchignorerace,mtchvalues,mtchrespect,mtchfair,mtchsuccess,mtchmistakesok,mtchbiased,mtchmadeinteresting,mtchgenderbias,mtchmadeeasy,mtchrace,mtchrace2,mtchgender,mathcourse,mathnoadv,mathbad,mathpersistence,mathboring,mathgrades,mathimpt,peerbelief,mtchbelief,mtchdiscriminate,stereotype_asian,stereotype_white,stereotype_latino,stereotype_black,school_asian,school_white,school_latino,school_black,closerace,belongrace,raceidentity,raceaffects,raceproud,racehappy,raceunhappy,raceaffects2,racefriends,myracegood,age,sex,race,primarylanguage,primarylanguage1,flag_birthplace,flag_birthplace_text,gradelevel,collegetype,highesteducation,mothereducation
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,3,3,2,2,1,2,3,4,4,4,4,1,1,2,1,3,3,2,4,1,2,2,3,4,4,2,3,3,2,2,3,2,2,4,3,3,3,1,1,1,2,2,3,4,4,3,2,1,3,1,3,4,,1,Advanced Algebra ,1,1,2,1,4,4,1,1,1,2,2,2,3,2,2,3,3,2,1,1,2,4,4,1,2,3,3,34,1,4,1,,1,,7,2,5,1
1,3,3,3,3,1,2,1,3,2,3,4,3,3,1,3,3,3,3,3,3,3,1,2,2,3,3,4,2,3,3,2,2,3,3,2,3,3,3,3,1,1,1,2,1,3,3,4,3,2,1,3,1,3,4,,1,Advanced Algebra,1,1,2,1,4,4,2,1,1,1,2,2,3,2,2,2,2,2,2,2,2,3,4,1,2,2,3,34,1,4,1,,1,,7,2,5,1
1,3,2,3,3,4,2,2,2,1,3,4,2,2,1,1,4,2,4,1,1,4,4,4,4,3,3,3,3,3,1,,2,3,4,4,4,4,4,4,1,1,1,1,1,4,4,4,4,4,3,4,1,4,4,,1,Math 203 intermediate algebra,1,1,1,3,4,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,22,2,1,3,Vietnamese ,1,,8,2,4,9
1,2,2,2,2,2,1,1,3,1,3,3,2,3,2,3,3,2,2,2,2,2,2,2,3,3,2,3,,1,3,2,2,2,2,2,3,2,3,3,3,1,1,1,1,2,3,3,2,1,1,2,1,1,4,,1,intermediate algebra,2,2,2,2,2,4,1,1,1,1,3,3,3,2,2,2,2,2,2,2,2,1,2,1,2,2,2,33,2,6,1,,2,Ukraine ,7,2,4,9
1,1,1,1,1,2,1,1,3,2,3,4,3,3,1,2,4,1,3,3,2,3,1,3,3,2,3,3,4,3,3,1,1,2,1,1,2,2,2,1,1,1,1,2,1,3,3,4,3,3,1,2,1,2,4,,1,203 intermediate algebra,2,1,1,2,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1,3,1,2,25,2,1,3,Mien,1,,6,2,4,1
1,1,1,1,1,4,1,1,3,2,4,4,3,4,1,1,2,2,3,3,4,4,1,3,3,4,4,4,3,4,5,2,1,2,4,4,4,4,4,4,1,1,2,3,1,4,4,4,4,4,1,2,1,2,3,,1,Math 1 - PreCalculus,4,4,1,2,2,4,4,3,2,1,2,4,4,1,2,2,3,3,3,3,2,4,4,1,4,2,3,21,2,1,1,,1,,8,2,4,5
1,1,1,1,1,4,1,1,4,2,2,3,2,2,1,2,4,1,1,1,2,1,2,2,2,1,4,2,3,,,,,,,,,,,,1,1,1,2,1,3,4,3,4,4,1,3,1,3,4,,1,Math 203 (algebra for people who will never use it again in their lives),4,4,1,4,3,1,1,1,2,1,2,3,4,2,2,2,2,2,2,1,1,2,2,2,3,1,1,34,1,4,1,,1,,7,2,4,4
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,2,1,2,3,2,3,4,2,2,4,1,2,2,1,1,1,4,4,1,2,4,3,2,4,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,,3,Math 203 Intermediate algebra,4,2,2,4,1,2,2,3,1,2,3,3,3,2,2,3,2,4,4,1,1,1,4,1,1,1,2,,2,1,3,,2,,6,2,3,4
1,2,2,2,2,1,3,1,2,2,4,4,3,3,1,1,3,2,3,2,2,3,1,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,2,1,1,1,4,2,2,1,2,2,4,3,4,3,4,,1,Intermediate Algebra ,1,1,2,2,3,3,2,2,1,1,2,3,4,1,2,3,4,4,3,2,2,2,3,2,3,1,3,18,1,1,1,,1,,5,3,5,6
1,3,3,3,4,1,4,1,2,1,4,4,4,3,1,1,4,2,1,3,2,2,1,3,3,1,3,3,2,1,1,4,2,3,3,3,4,4,4,3,1,1,1,3,1,4,4,4,3,4,1,3,1,4,3,,1,MATH-1-30834-S17 Precalculus,1,1,4,2,4,4,3,2,1,1,3,3,3,2,2,3,2,1,2,3,2,2,3,2,3,1,1,19,1,3,1,,1,,6,3,4,8
1,2,2,2,1,1,4,1,4,1,4,4,4,4,1,1,4,1,4,4,4,4,1,4,4,4,4,4,4,2,3,4,1,3,2,3,1,2,2,4,1,1,1,4,1,4,4,4,4,4,1,4,1,4,4,,1,Intermediate Algebra ,1,1,2,1,2,2,2,1,2,1,1,4,4,,,,,4,4,4,4,4,4,1,4,3,4,36,2,4,1,,1,,6,2,5,8
1,2,2,1,1,4,1,1,4,2,4,4,3,4,1,1,4,1,4,4,4,4,1,4,4,4,4,4,1,2,4,1,2,2,3,3,4,4,4,4,1,1,1,4,1,4,4,4,4,4,1,3,1,3,3,,1,pre-cal,3,3,1,2,4,4,3,1,1,1,2,3,3,1,1,1,1,4,4,4,4,4,4,1,3,2,4,31,2,7,1,,2,Yemen,8,2,5,1
1,2,2,2,2,1,2,1,2,1,2,4,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,1,1,2,4,3,3,4,4,4,1,3,1,3,4,,1,Math 203 hybrid,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,1,7,1,,1,,6,2,4,4
1,3,3,3,3,1,1,1,2,4,3,1,3,4,1,2,2,1,4,3,2,2,1,4,4,3,3,3,1,2,2,4,2,2,4,4,4,4,4,4,1,1,1,3,1,3,4,4,3,3,3,3,1,3,6,,2,Statistics for Sociology Majors STATS232,1,1,3,2,3,4,1,1,1,1,2,3,3,2,2,2,2,4,2,2,3,2,3,1,1,1,1,21,2,6,1,,2,Canada,8,3,5,5
1,3,2,2,2,2,4,1,1,1,2,3,1,3,1,1,3,2,1,1,1,1,1,2,3,1,3,3,1,2,3,3,2,3,4,3,3,3,4,3,1,1,1,2,1,4,4,4,4,4,1,3,1,3,6,,2,Biology Statistics ,1,1,3,1,3,3,2,2,1,2,2,3,3,2,2,2,2,1,1,1,1,1,2,1,1,1,2,21,2,6,1,,1,,8,3,5,7
