     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.999     0.000     0.000     0.001     1.000
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.707     0.000     0.293     2.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.383     0.000     0.617     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.869     0.000     0.131     2.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     0.000     1.000     1.000     1.000     0.000     0.000     0.000     0.960     0.000     0.000     0.040     1.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.383     0.000     0.617     4.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.383     0.000     0.617     4.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.011     0.000     0.989     4.000
     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.653     0.000     0.347     0.000     1.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     1.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.011     0.000     0.989     4.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.852     0.000     0.000     0.148     1.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     1.000     0.000     0.000     0.000     0.000     1.000     1.000     0.000     0.006     0.000     0.994     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.594     0.000     0.406     2.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.940     0.000     0.060     2.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.009     0.000     0.000     0.991     4.000
     1.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.001     0.000     0.999     4.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.676     0.000     0.307     0.017     1.000
     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.015     0.000     0.000     0.985     4.000
     1.000     1.000     0.000     1.000     1.000     1.000     0.000     0.968     0.000     0.000     0.032     1.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.998     0.000     0.000     0.002     1.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.999     0.000     0.000     0.001     1.000
     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.462     0.000     0.538     0.000     3.000
