     1.000 0 1 1 0 1 0      0.951      0.000      0.002      0.047    1
     3.000 1 0 0 0 0 1      0.000      0.749      0.000      0.251    2
     2.000 1 1 0 1 0 1      0.000      0.999      0.000      0.001    2
     2.000 1 1 0 1 0 0      0.000      0.995      0.000      0.005    2
     2.000 1 1 1 0 0 0      0.000      0.502      0.495      0.004    2
     1.000 1 1 0 1 1 1      0.000      0.983      0.000      0.017    2
     1.000 1 1 0 0 0 1      0.000      0.983      0.000      0.017    2
     1.000 1 0 0 1 0 1      0.000      0.973      0.000      0.027    2
     1.000 1 0 1 0 0 0      0.000      0.876      0.000      0.124    2
     1.000 1 0 1 0 0 1      0.000      0.965      0.000      0.035    2
    30.000 1 1 1 1 0 1      0.000      0.032      0.968      0.000    3
     9.000 1 1 1 1 0 0      0.000      0.048      0.952      0.000    3
     2.000 1 1 1 1 1 1      0.000      0.038      0.962      0.000    3
     2.000 1 1 1 0 0 1      0.000      0.398      0.601      0.001    3
     1.000 0 1 1 1 0 0      0.000      0.000      0.992      0.008    3
     1.000 1 1 1 1 1 0      0.000      0.057      0.942      0.000    3
     1.000 0 1 1 1 0 1      0.000      0.000      0.999      0.001    3
    11.000 0 0 0 0 1 0      0.000      0.000      0.000      1.000    4
     9.000 0 0 0 0 0 0      0.000      0.000      0.000      1.000    4
     6.000 0 0 0 0 1 1      0.000      0.000      0.000      1.000    4
     5.000 0 0 0 0 0 1      0.000      0.000      0.000      1.000    4
     2.000 0 0 0 1 1 0      0.000      0.000      0.000      1.000    4
     2.000 1 0 0 0 0 0      0.000      0.437      0.000      0.563    4
     2.000 0 1 0 0 0 0      0.000      0.000      0.000      1.000    4
     1.000 0 0 0 1 0 0      0.000      0.000      0.000      1.000    4
     1.000 0 0 1 0 0 0      0.000      0.000      0.000      1.000    4
     1.000 1 0 0 0 1 0      0.000      0.061      0.000      0.939    4
     1.000 0 0 1 0 1 1      0.000      0.000      0.000      1.000    4
     1.000 0 1 0 0 0 1      0.000      0.000      0.000      1.000    4
